le	ie	simIdx	pt	eta	dR	pdg	class	best_all	best_lst	best_lst_n	best_by_algo	npixhits	npixlayers	nshared_pix	cmssw_seedIdx
0	75	3	976.2	-0.048	0.0023	2212	C2: only partial (<=1/2) seed hits in input	0.25	0.25	(1, 4)	{4: 0.25, 13: 0.2}	7	4	2	[]
0	75	4	340.51	-0.048	0.0027	-2212	C2: only partial (<=1/2) seed hits in input	0.25	0.25	(1, 4)	{4: 0.25, 13: 0.2}	4	4	2	[]
1	50	75	44.4	-0.298	0.0168	-2212	N2: no seed at all despite >=3 pixel layers with hits (CMSSW seeding failure)	0.0	0.0	None	{}	4	4	4	[]
1	50	156	48.95	-0.297	0.0165	-211	N2: no seed at all despite >=3 pixel layers with hits (CMSSW seeding failure)	0.0	0.0	None	{}	4	4	4	[]
1	50	157	14.05	-0.289	0.0195	211	C2: only partial (<=1/2) seed hits in input	0.25	0.25	(1, 4)	{4: 0.25}	29	15	1	[]
2	0	41	157.26	-0.309	0.0184	211	C1: best LST pLS 2/3 or 2/4 (contaminated seed)	0.667	0.667	(2, 3)	{13: 0.4, 4: 0.5, 5: 0.67, 22: 0.67}	6	4	4	[]
2	0	83	121.21	-0.31	0.019	-321	C1: best LST pLS 2/3 or 2/4 (contaminated seed)	0.667	0.667	(2, 3)	{13: 0.4, 4: 0.25, 5: 0.67, 22: 0.67}	4	4	3	[]
2	0	99	99.1	-0.312	0.0198	-211	C1: best LST pLS 2/3 or 2/4 (contaminated seed)	0.667	0.667	(2, 3)	{13: 0.4, 4: 0.25, 5: 0.67, 22: 0.67}	4	4	3	[]
3	25	38	92.31	-0.662	0.0016	-211	C2: only partial (<=1/2) seed hits in input	0.333	0.333	(1, 3)	{4: 0.25, 22: 0.33}	4	4	4	[]
3	25	97	86.78	-0.662	0.003	211	C2: only partial (<=1/2) seed hits in input	0.333	0.333	(1, 3)	{4: 0.25, 22: 0.33}	4	4	4	[]
3	25	98	51.75	-0.662	0.0033	211	C2: only partial (<=1/2) seed hits in input	0.333	0.333	(1, 3)	{4: 0.25, 22: 0.33}	4	4	3	[]
3	25	116	44.94	0.005	0.0122	211	D2: genuine input seed, dropped by LST algo filter (algo [6])	1.0	0.5	(2, 4)	{4: 0.5, 13: 0.33, 6: 1.0}	4	4	1	[623]
3	25	119	126.77	0.014	0.0113	-211	C1: best LST pLS 2/3 or 2/4 (contaminated seed)	0.667	0.667	(2, 3)	{4: 0.5, 22: 0.67, 6: 0.5}	4	4	2	[]
3	25	144	26.74	-0.664	0.0021	211	C2: only partial (<=1/2) seed hits in input	0.333	0.333	(1, 3)	{4: 0.25, 22: 0.33}	4	4	2	[]
3	25	145	62.24	-0.666	0.0049	-211	N2: no seed at all despite >=3 pixel layers with hits (CMSSW seeding failure)	0.0	0.0	None	{}	4	4	2	[]
4	76	47	79.71	-0.786	0.0012	211	C2: only partial (<=1/2) seed hits in input	0.2	0.0	None	{13: 0.2}	4	4	2	[]
4	76	48	1364.1	-0.785	0.0005	-211	C2: only partial (<=1/2) seed hits in input	0.2	0.0	None	{13: 0.2}	4	4	4	[]
4	76	50	400.41	-0.785	0.0007	-211	C2: only partial (<=1/2) seed hits in input	0.2	0.0	None	{13: 0.2}	4	4	4	[]
6	1	42	220.49	1.26	0.0089	211	D2: genuine input seed, dropped by LST algo filter (algo [6])	1.0	0.667	(2, 3)	{5: 0.67, 22: 0.67, 6: 1.0}	4	3	1	[889, 891]
6	1	43	108.28	1.259	0.0103	-2212	D2: genuine input seed, dropped by LST algo filter (algo [6])	1.0	0.333	(1, 3)	{5: 0.33, 22: 0.33, 6: 1.0}	4	3	0	[850, 872, 873, 894, 896]
6	1	116	196.9	1.046	0.0027	-211	D2: genuine input seed, dropped by LST algo filter (algo [6, 23])	1.0	0.5	(2, 4)	{4: 0.5, 6: 1.0, 23: 1.0}	4	4	2	[671, 861]
